name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Alex Knaff,2026-04-27,1698.5371389735424,1698.5371389735424,1768.488788375972,1500.0,1508.139654855543,0.7332315859323159,0.5,0.5833333333333334,0.6489968556151363,0.6349567298397417,0.6349567298397417,2.0,30.0,3.0,True
Jiri Lehecka,2026-04-09,1697.458373745172,1720.4725481477908,1545.0216410657076,1515.7786841684942,1670.0961378036516,0.5504268292682926,0.5,0.6605089490070843,0.6240405511743268,0.669888651922484,0.6382865016422402,-1.0,5.506764601285668,7.472115715660761,True
Alejandro Moro Canas,2026-04-26,1696.5231366039495,1696.5231366039495,1533.158531174253,1500.0,1500.0,0.5658122754481195,0.4545454545454545,0.5,0.6108435332536132,0.6152772745837577,0.6152772745837577,-1.0,30.0,3.0,True
Alex Molcan,2026-04-27,1695.6434968227547,1695.6434968227547,1758.4629572923122,1501.088307841684,1478.0558031888556,0.6864053377814845,0.4705882352941176,0.4285714285714285,0.6029905160257882,0.5871101366668198,0.5871101366668198,2.0,10.821052631578947,4.0,True
Alexander Bublik,2026-04-14,1694.1184366898058,1715.8186125715326,1490.0068707941657,1585.948528844373,1571.4054255148612,0.4838870192307691,0.6181818181818182,0.425653217447031,0.5314818768639644,0.4724736398129491,0.4193473419804673,-2.0,6.029469866861206,5.4071269479810375,True
Frances Tiafoe,2026-03-25,1693.501612850966,1738.278783406789,1537.5654239337443,1552.4666344828638,1662.2597416540948,0.5370370370370371,0.575,0.6215688701792915,0.6118527264890818,0.6229857358608362,0.597753806848,-1.0,5.415867309837903,6.494245363405784,True
Alexandar Lazarov,2026-04-26,1688.324721522598,1688.324721522598,1667.8461952342823,1500.0,1481.996171031327,0.7287559109983835,0.5,0.4,0.6567179090971003,0.6429866254609843,0.6429866254609843,2.0,36.66666666666666,3.0,True
Francisco Cerundolo,2026-04-17,1687.9141203892625,1693.213982342683,1630.1246197448318,1494.333505049941,1600.2922002039586,0.5096705561342592,0.4615384615384615,0.5876231106963425,0.569418975351663,0.5712466200931173,0.555934845684941,-1.0,5.293033682014489,6.822982047605326,True
Ugo Humbert,2026-04-06,1686.8094413620902,1762.962059871555,1441.1605829179496,1522.439725430237,1662.0908328407404,0.3683333333333333,0.5217391304347826,0.5257143677843689,0.5403818010072543,0.5013805925988692,0.4667647931449345,-1.0,5.981240000204546,5.378490684876661,True
Alejandro Tabilo,2026-04-24,1685.4879019786138,1685.4879019786138,1661.4597158806248,1530.535495985334,1525.8786163873428,0.6491560322916666,0.5416666666666666,0.4401673573258196,0.6298567998332553,0.6424539358299204,0.6424539358299204,-1.0,5.971356872483558,6.549289450698036,True
Valentin Vacherot,2026-04-11,1683.977185727114,1683.977185727114,1519.5999108823228,1500.0,1509.4057599808425,0.5788467534722223,0.5,0.5360285937499999,0.536222553886595,0.578565343800755,0.6364850585600001,-1.0,14.961623294890003,6.6543764013975295,True
Aleksandre Bakshi,2026-04-25,1681.5234784090758,1681.5234784090758,1486.7400370823943,1500.0,1498.7402475675617,0.46084478021978004,0.5,0.5384615384615384,0.521060663592122,0.5314818768639644,0.5314818768639644,-1.0,50.0,2.0,True
Alexander Erler,2026-04-26,1680.52875479122,1680.52875479122,1632.6261526475073,1500.0,1500.0,0.6391821154862579,0.5,0.5,0.6002474636056421,0.5842573621498678,0.5842573621498678,2.0,30.0,3.0,True
Casper Ruud,2026-04-09,1678.6872866651693,1846.465959754474,1761.070511891132,1499.007918647983,1612.1230786005754,0.7065547445255473,0.4761904761904761,0.5193239146706587,0.6349567298397417,0.562789678252032,0.5317939200000001,-1.0,7.312459562033898,4.499404352055937,True
Hubert Hurkacz,2026-04-09,1677.4994252393074,1807.3451848206355,1617.9861659670603,1593.9326072124184,1632.995241631199,0.6087366071428572,0.6341463414634146,0.3384436126373626,0.5300501151519826,0.40286579818496,0.37188608,-1.0,8.160858939759036,3.810264600329421,True
Stefanos Tsitsipas,2026-04-15,1676.8784946745343,1832.319156146498,1751.6744955996533,1530.0641157946957,1644.3992683608678,0.655045871559633,0.5428571428571428,0.536643859702473,0.5871101366668198,0.4634610921383234,0.38256243638272,-3.0,6.600446199829452,4.086180678966207,True
Jordan Thompson,2026-01-20,1675.1084660791098,1680.2901662178865,1438.856098576509,1570.8668180160166,1604.6504512004994,0.3333333333333333,0.5849056603773585,0.5161290322580645,0.5052631578947369,0.6,0.4,-2.0,8.316666666666666,2.0,True
