k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
24,12,240,2.2,39613,2022-04-18 00:00:00,0.7705295730083725,0.7452296611471172,0.1947350707231371,0.20444479277839217,0.6719676890066894,0.52
22,16,365,2.2,39613,2022-04-18 00:00:00,0.7699848584947373,0.7452107641095226,0.1949420018968802,0.2044742233673676,0.670579326012874,0.54
24,14,500,1.8,39613,2022-04-18 00:00:00,0.7701048714252244,0.7452056016810397,0.194913726788129,0.2044688951581323,0.6718414741890698,0.54
24,14,240,2.2,39613,2022-04-18 00:00:00,0.770513931097386,0.7451991964456999,0.19473894810343167,0.20446301735061478,0.6723463334595482,0.545
24,16,240,2.2,39613,2022-04-18 00:00:00,0.7704927924109575,0.7451796939380979,0.19474635856052916,0.20447301122898884,0.6725987630947873,0.545
22,18,365,2.2,39613,2022-04-18 00:00:00,0.769931368496612,0.7451786423322959,0.19496068959654952,0.2044889269218212,0.6696958222895368,0.54
24,18,240,2.2,39613,2022-04-18 00:00:00,0.7704634603425834,0.7451740216401355,0.19475475436213205,0.20448208142948823,0.6727249779124069,0.545
24,16,500,1.8,39613,2022-04-18 00:00:00,0.770068584740965,0.7451732887027582,0.19492631782277894,0.20448704455789965,0.672093903824309,0.54
24,24,500,2.0,39613,2022-04-18 00:00:00,0.7698473295714915,0.7451597134278589,0.19500767261195087,0.20449385250554208,0.6729774075476461,0.545
22,14,500,2.2,39613,2022-04-18 00:00:00,0.7696939237301933,0.7451587574225843,0.19507597284480194,0.20450467662720836,0.6712104001009719,0.54
22,12,365,2.0,39613,2022-04-18 00:00:00,0.7700842346182926,0.7451537861951565,0.19490548861082027,0.2044940713067527,0.670579326012874,0.54
22,12,500,2.0,39613,2022-04-18 00:00:00,0.7698231815996669,0.74514499094663,0.19502395998408156,0.20449824498409905,0.6709579704657327,0.54
22,20,365,2.2,39613,2022-04-18 00:00:00,0.769878603435538,0.745137852773913,0.19497875708138357,0.2045032131453237,0.6724725482771677,0.555
24,20,240,2.2,39613,2022-04-18 00:00:00,0.7704365221597462,0.7451292805932841,0.19476393489087826,0.2044934301579867,0.6738609112709832,0.55
24,18,500,1.8,39613,2022-04-18 00:00:00,0.770028796849739,0.7451222380210946,0.19494012297276223,0.2045048084209758,0.6722201186419285,0.545
22,14,365,2.0,39613,2022-04-18 00:00:00,0.7700423914110319,0.7451175854620915,0.1949196044676507,0.20451209146695445,0.670831755648113,0.54
24,12,365,1.8,39613,2022-04-18 00:00:00,0.7702669506205264,0.74510923634936,0.1948409211117724,0.20449831547309782,0.675754133535277,0.555
22,16,500,2.2,39613,2022-04-18 00:00:00,0.7696373268589922,0.7450970632155302,0.19509704723407534,0.20453214895003285,0.673608481635744,0.555
32,14,240,1.8,39613,2022-04-18 00:00:00,0.7705257889962926,0.7450906898470327,0.19475281666991054,0.2044958380490375,0.6728511927300265,0.515
24,24,240,2.2,39613,2022-04-18 00:00:00,0.7703715526639224,0.7450891283717509,0.19478496214760702,0.20451276616602035,0.6712104001009719,0.545
